TIME | EVENT
   168      |    1    |       3      |      4     
   120      |    1    |       2      |      3     
   108      |    1    |       2      |      2     
   109      |    1    |       3      |      2     
   171      |    1    |       1      |      1     
   156      |    1    |       1      |      1     
   159      |    1    |       3      |      3     
   165      |    1    |       1      |      1     
   164      |    1    |       3      |      1     
   141      |    1    |       1      |      2     
   150      |    1    |       3      |      1     
   113      |    1    |       3      |      1     
   103      |    0    |       1      |      2     
   137      |    0    |       1      |      1     
   110      |    1    |       2      |      2     
   173      |    1    |       2      |      1     
   157      |    0    |       3      |      1     
   111      |    1    |       2      |      2     
   175      |    1    |       1      |      6     
   152      |    1    |       1      |      9     
   160      |    1    |       3      |      10     
   132      |    1    |       3      |      12     
   128      |    1    |       1      |      13     
   163      |    1    |       3      |      13     
   174      |    1    |       2      |      11     
   134      |    1    |       2      |      13     
   129      |    1    |       1      |      7     
   146      |    1    |       2      |      3     
   144      |    1    |       2      |      3     
   140      |    1    |       2      |      4     
   162      |    1    |       3      |      5     
   153      |    1    |       1      |      8     
   142      |    1    |       1      |      9     
   167      |    1    |       1      |      9     
   139      |    1    |       3      |      5     
   148      |    1    |       1      |      7     
   123      |    1    |       3      |      3     
   116      |    1    |       1      |      5     
   158      |    1    |       3      |      7     
   135      |    1    |       3      |      2     
   124      |    1    |       3      |      3     
   106      |    1    |       1      |      4     
   149      |    0    |       1      |      4     
   147      |    0    |       3      |      3     
   126      |    0    |       1      |      3     
   115      |    1    |       2      |      3     
   145      |    0    |       1      |      5     
   138      |    0    |       3      |      4     
   119      |    0    |       1      |      4     
   166      |    1    |       3      |      5     
   104      |    1    |       2      |      10     
   170      |    1    |       3      |      10     
   121      |    1    |       2      |      8     
   133      |    1    |       1      |      4     
   143      |    1    |       1      |      6     
   118      |    1    |       2      |      9     
   114      |    1    |       2      |      9     
   117      |    1    |       2      |      8     
   105      |    1    |       3      |      4     
   151      |    1    |       1      |      9     
   155      |    0    |       3      |      12     
   169      |    1    |       2      |      12     
   130      |    0    |       1      |      10     
   122      |    0    |       3      |      13     
   107      |    0    |       3      |      14     
   101      |    1    |       2      |      10     
   131      |    0    |       1      |      7     
   102      |    0    |       3      |      5     
   127      |    0    |       3      |      7     


Turn around time for GS Queue is 1.71
Turn around time for RS Queue is 6.35
Turn around time for EE Queue is 8.60
